,election_year,pc_name,pc_no,electors,male_electors,female_electors,votes_polled,male_voters,female_voters,votes_polled_percentage
320,1977,Machilipatnam,12,642258,318087,324171,465844,240535,225309,72.5
321,1977,Madhepura,21,655834,340843,314991,469461,269186,200275,71.6
322,1977,Madhubani,13,694797,345917,348880,475219,281895,193324,68.4
323,1977,Madras Central,2,860316,471389,388927,465600,251409,214191,54.1
324,1977,Madras North,1,852627,464880,387747,470323,256199,214124,55.2
325,1977,Madras South,3,818878,440511,378367,480835,260224,220611,58.7
326,1977,Madurai,24,761202,386608,374594,489074,252641,236433,64.3
327,1977,Mahabubnagar,29,698700,350430,348270,355740,185048,170692,50.9
328,1977,Maharajganj,6,682823,343076,339747,448583,267270,181313,65.7
329,1977,Maharajganj,39,567992,296575,271417,303976,192280,111696,53.5
330,1977,Mahasamund,18,567454,269066,298388,325640,173517,152123,57.4
331,1977,Mahendragarh,7,652913,334781,318132,472459,244686,227773,72.4
332,1977,Mainpuri,69,603450,332284,271166,374342,196525,177817,62.0
333,1977,Malda,7,550001,280356,269645,368914,203815,165099,67.1
334,1977,Malegaon,13,553698,276199,277499,286484,157129,129355,51.7
335,1977,Mandi,2,493450,258172,235278,265820,159696,106124,53.9
336,1977,Mandla,24,497295,241056,256239,195129,135873,59256,39.2
337,1977,Mandsaur,40,598330,302249,296081,409872,232096,177776,68.5
338,1977,Mandvi,25,541832,268783,273049,340473,178005,162468,62.8
339,1977,Mandya,14,604439,311299,293140,425086,232324,192762,70.3
340,1977,Mangaldoi,8,560297,302987,257310,303095,191534,111561,54.1
341,1977,Mangalore,17,555815,288063,267752,396203,208233,187970,71.3
342,1977,Manjeri,5,569228,282148,287080,442328,223359,218969,77.7
343,1977,Mathura,74,624422,343665,280757,392137,228092,164045,62.8
344,1977,Mathurapur,16,601885,331251,270634,397485,212917,184568,66.0
345,1977,Mavelikara,16,569041,275921,293120,452188,217605,234583,79.5
346,1977,Mayiladuturai,29,647843,324555,323288,496486,256190,240296,76.6
347,1977,Mayurbhanj,1,557848,276520,281328,215006,135300,79706,38.5
348,1977,Medak,33,635388,312802,322586,371104,203860,167244,58.4
349,1977,Meerut,80,595444,330023,265421,404051,222113,181938,67.9
350,1977,Mehsana,12,596154,287662,308492,388731,200801,187930,65.2
351,1977,Midnapore,32,578798,321427,257371,338254,191536,146718,58.4
352,1977,Miryalguda,42,667777,336196,331581,451295,241171,210124,67.6
353,1977,Mirzapur,54,627411,321679,305732,321471,171317,150154,51.2
354,1977,Misrikh,18,608431,356594,251837,293393,176147,117246,48.2
355,1977,Mizoram,1,204480,100050,104430,102075,56438,45637,49.9
356,1977,Mohanlalganj,21,600008,324234,275774,273880,173572,100308,45.7
357,1977,Monghyr,32,699735,384814,314921,517831,284817,233014,74.0
358,1977,Moradabad,7,551951,303701,248250,309125,170157,138968,56.0
359,1977,Morena,1,588278,309062,279216,281908,188782,93126,47.9
360,1977,Mormugao,2,233965,119034,114931,144942,74154,70788,62.0
361,1977,Motihari,3,658880,341327,317553,366506,258007,108499,55.6
362,1977,Mukundapuram,10,562082,275165,286917,472364,229234,243130,84.0
363,1977,Murshidabad,9,587057,303577,283480,363744,209077,154667,62.0
